Cpd,Label,Area,Base Peak,Sample,End,Height,Ions,m/z,RT,Start,Width
20,Cpd 20: 12.274,106502,44.86,Balloons_Sample_1_USE_08_1,12.388,4684,5,44.86,12.274,12.162,0.226
21,Cpd 21: 13.057,140353,43.01,Balloons_Sample_1_USE_08_1,13.121,15147,10,43.01,13.057,12.967,0.154
22,Cpd 22: 13.428,3975487,98.1,Balloons_Sample_1_USE_08_1,13.534,833971,11,98.1,13.428,13.376,0.158
23,Cpd 23: 13.536,67942,90.94,Balloons_Sample_1_USE_08_1,13.604,12041,7,90.94,13.536,13.492,0.112
24,Cpd 24: 13.762,61151,69.97,Balloons_Sample_1_USE_08_1,13.929,6786,13,69.97,13.762,13.707,0.223
25,Cpd 25: 13.970,46721,43.01,Balloons_Sample_1_USE_08_1,14.118,5429,9,43.01,13.97,13.906,0.211
26,Cpd 26: 14.431,567123,207,Balloons_Sample_1_USE_08_1,14.496,124071,16,207,14.431,14.374,0.122
27,Cpd 27: 14.727,94115,55.01,Balloons_Sample_1_USE_08_1,14.831,12971,14,55.01,14.727,14.673,0.158
28,Cpd 28: 15.003,1020333,69.97,Balloons_Sample_1_USE_08_1,15.082,92395,25,69.97,15.003,14.955,0.127
29,Cpd 29: 15.138,61641,43.01,Balloons_Sample_1_USE_08_1,15.189,15953,6,43.01,15.138,15.035,0.154
30,Cpd 30: 15.531,90036,58.86,Balloons_Sample_1_USE_08_1,15.71,10387,6,58.86,15.531,15.508,0.202
31,Cpd 31: 15.779,186145,95,Balloons_Sample_1_USE_08_1,15.879,29146,14,95,15.779,15.74,0.139
32,Cpd 32: 15.936,39922,41,Balloons_Sample_1_USE_08_1,15.963,3755,11,41,15.936,15.885,0.078
33,Cpd 33: 16.306,88816,98.1,Balloons_Sample_1_USE_08_1,16.385,11814,14,98.1,16.306,16.269,0.116
34,Cpd 34: 16.340,51400,103.85,Balloons_Sample_1_USE_08_1,16.416,9784,9,103.85,16.34,16.302,0.114
35,Cpd 35: 16.612,40634,69.97,Balloons_Sample_1_USE_08_1,16.667,3676,13,69.97,16.612,16.568,0.099
36,Cpd 36: 17.203,133195,43.01,Balloons_Sample_1_USE_08_1,17.261,23608,17,43.01,17.203,17.166,0.095
37,Cpd 37: 17.231,82536,280.99,Balloons_Sample_1_USE_08_1,17.297,20452,12,280.99,17.231,17.187,0.11
38,Cpd 38: 17.334,61798,98.1,Balloons_Sample_1_USE_08_1,17.398,12366,10,98.1,17.334,17.303,0.095
39,Cpd 39: 17.483,55336,69.97,Balloons_Sample_1_USE_08_1,17.537,3955,15,69.97,17.483,17.425,0.112
40,Cpd 40: 17.558,46303,57.05,Balloons_Sample_1_USE_08_1,17.634,5290,10,57.05,17.558,17.508,0.126
41,Cpd 41: 17.694,282309,55.01,Balloons_Sample_1_USE_08_1,17.735,38694,21,55.01,17.694,17.651,0.084
42,Cpd 42: 17.753,82837,70.99,Balloons_Sample_1_USE_08_1,17.805,12415,12,70.99,17.753,17.718,0.088
43,Cpd 43: 17.792,55746,104.88,Balloons_Sample_1_USE_08_1,17.843,9967,7,104.88,17.792,17.759,0.084
44,Cpd 44: 17.864,48528,110.01,Balloons_Sample_1_USE_08_1,17.98,5178,13,110.01,17.864,17.822,0.158
45,Cpd 45: 18.106,111526,85.87,Balloons_Sample_1_USE_08_1,18.211,12527,19,85.87,18.106,18.081,0.129
46,Cpd 46: 18.459,140697,57.05,Balloons_Sample_1_USE_08_1,18.527,26845,15,57.05,18.459,18.422,0.105
47,Cpd 47: 18.634,136107,93.94,Balloons_Sample_1_USE_08_1,18.728,28387,14,93.94,18.634,18.597,0.131
48,Cpd 48: 18.654,257769,68.99,Balloons_Sample_1_USE_08_1,18.681,22073,25,68.99,18.654,18.599,0.082
49,Cpd 49: 18.704,223253,68.99,Balloons_Sample_1_USE_08_1,18.755,19717,20,68.99,18.704,18.677,0.078
50,Cpd 50: 18.772,46082,43.01,Balloons_Sample_1_USE_08_1,18.822,4828,13,43.01,18.772,18.69,0.131
51,Cpd 51: 19.114,39824,67.88,Balloons_Sample_1_USE_08_1,19.221,6486,6,67.88,19.114,19.039,0.183
52,Cpd 52: 19.192,42381,104.88,Balloons_Sample_1_USE_08_1,19.3,6184,7,104.88,19.192,19.138,0.162
53,Cpd 53: 19.333,132505,57.05,Balloons_Sample_1_USE_08_1,19.381,11987,23,57.05,19.333,19.29,0.091
54,Cpd 54: 19.581,64793,81.96,Balloons_Sample_1_USE_08_1,19.671,3569,14,81.96,19.581,19.444,0.227
55,Cpd 55: 19.654,53559,106.93,Balloons_Sample_1_USE_08_1,19.835,5088,13,106.93,19.654,19.606,0.228
56,Cpd 56: 19.914,66383,55.01,Balloons_Sample_1_USE_08_1,19.974,4512,16,55.01,19.914,19.842,0.131
57,Cpd 57: 20.400,47992,99.04,Balloons_Sample_1_USE_08_1,20.469,13817,4,99.04,20.4,20.37,0.099
58,Cpd 58: 20.454,71168,57.05,Balloons_Sample_1_USE_08_1,20.512,4992,20,57.05,20.454,20.394,0.118
59,Cpd 59: 20.576,40223,127.86,Balloons_Sample_1_USE_08_1,20.651,3909,11,127.86,20.576,20.505,0.147
60,Cpd 60: 20.952,71437,55.01,Balloons_Sample_1_USE_08_1,21.023,4301,20,55.01,20.952,20.905,0.118
61,Cpd 61: 21.009,75139,57.05,Balloons_Sample_1_USE_08_1,21.091,6068,19,57.05,21.009,20.928,0.164
62,Cpd 62: 21.123,416552,68.99,Balloons_Sample_1_USE_08_1,21.173,35188,35,68.99,21.123,21.086,0.088
63,Cpd 63: 21.206,327701,68.99,Balloons_Sample_1_USE_08_1,21.251,28114,29,68.99,21.206,21.166,0.086
64,Cpd 64: 21.292,398705,68.99,Balloons_Sample_1_USE_08_1,21.348,31718,30,68.99,21.292,21.24,0.109
65,Cpd 65: 21.747,58055,113.03,Balloons_Sample_1_USE_08_1,21.811,5766,13,113.03,21.747,21.71,0.101
66,Cpd 66: 21.916,174999,55.01,Balloons_Sample_1_USE_08_1,21.998,8338,31,55.01,21.916,21.872,0.126
67,Cpd 67: 22.246,86825,87.96,Balloons_Sample_1_USE_08_1,22.301,11766,18,87.96,22.246,22.21,0.091
